,Date,股票代码,Open,Close,High,Low,Volume,成交额,振幅,Change,Amount,Turnover,Adj Close
0,2021-05-27,605499,32.52,41.06,41.06,32.52,4229,28144542.0,33.62,61.65,15.66,1.06,41.06
1,2021-05-28,605499,46.18,46.18,46.18,46.18,1345,9860143.0,0.0,12.47,5.12,0.34,46.18
2,2021-05-31,605499,51.82,51.82,51.82,51.82,1275,10282920.0,0.0,12.21,5.64,0.32,51.82
3,2021-06-01,605499,58.02,58.02,58.02,58.02,1193,10575533.0,0.0,11.96,6.2,0.3,58.02
4,2021-06-02,605499,64.85,64.85,64.85,64.85,2872,28016555.0,0.0,11.77,6.83,0.72,64.85
5,2021-06-03,605499,72.35,72.35,72.35,72.35,3868,41504611.0,0.0,11.57,7.5,0.97,72.35
6,2021-06-04,605499,80.61,80.61,80.61,80.61,6501,76741935.0,0.0,11.42,8.26,1.62,80.61
7,2021-06-07,605499,89.68,89.68,89.68,89.68,3389,44000699.0,0.0,11.25,9.07,0.85,89.68
8,2021-06-08,605499,99.67,99.67,99.67,99.67,3956,56498307.0,0.0,11.14,9.99,0.99,99.67
9,2021-06-09,605499,110.65,110.65,110.65,110.65,22448,352662160.0,0.0,11.02,10.98,5.61,110.65
10,2021-06-10,605499,122.74,122.74,122.74,122.74,9608,166036712.0,0.0,10.93,12.09,2.4,122.74
11,2021-06-11,605499,136.03,136.03,136.03,136.03,8271,157222869.0,0.0,10.83,13.29,2.07,136.03
12,2021-06-15,605499,150.65,150.65,150.65,150.65,61362,1283071888.0,0.0,10.75,14.62,15.34,150.65
13,2021-06-16,605499,150.58,166.74,166.74,146.73,292614,6395612928.0,13.28,10.68,16.09,73.14,166.74
14,2021-06-17,605499,155.19,175.58,178.62,151.35,131908,3025036992.0,16.35,5.3,8.84,32.97,175.58
15,2021-06-18,605499,194.13,194.15,194.15,185.54,60399,1587007344.0,4.9,10.58,18.57,15.1,194.15
16,2021-06-21,605499,189.98,187.93,193.48,179.04,57967,1482440128.0,7.44,-3.2,-6.22,14.49,187.93
17,2021-06-22,605499,186.0,189.27,197.49,183.65,48091,1257002192.0,7.36,0.71,1.34,12.02,189.27
18,2021-06-23,605499,181.35,185.65,188.42,175.35,54284,1354991280.0,6.91,-1.91,-3.62,13.57,185.65
19,2021-06-24,605499,183.65,170.68,184.04,170.58,43832,1053469408.0,7.25,-8.06,-14.97,10.96,170.68
20,2021-06-25,605499,170.68,170.58,176.85,167.92,43519,1031250080.0,5.23,-0.06,-0.1,10.88,170.58
21,2021-06-28,605499,166.73,177.5,178.27,163.65,44169,1051001296.0,8.57,4.06,6.92,11.04,177.5
22,2021-06-29,605499,176.01,196.27,196.27,174.42,56665,1449579040.0,12.31,10.57,18.77,14.16,196.27
23,2021-06-30,605499,190.58,182.73,197.5,178.27,55558,1409337168.0,9.8,-6.9,-13.54,13.89,182.73
24,2021-07-01,605499,179.81,182.12,188.88,174.43,33534,843324432.0,7.91,-0.33,-0.61,8.38,182.12
25,2021-07-02,605499,181.35,177.66,187.88,172.12,32894,813309008.0,8.65,-2.45,-4.46,8.22,177.66
26,2021-07-05,605499,177.5,188.44,192.12,172.25,36336,906516480.0,11.18,6.07,10.78,9.08,188.44
27,2021-07-06,605499,187.73,189.65,202.12,186.81,47396,1258783440.0,8.12,0.64,1.21,11.85,189.65
28,2021-07-07,605499,191.49,209.04,209.58,191.49,50708,1397782944.0,9.54,10.22,19.39,12.67,209.04
29,2021-07-08,605499,202.35,192.78,204.77,191.96,46998,1271989888.0,6.13,-7.78,-16.26,11.75,192.78
30,2021-07-09,605499,189.81,188.02,191.63,180.58,36004,910979424.0,5.73,-2.47,-4.76,9.0,188.02
31,2021-07-12,605499,185.96,179.25,186.61,177.82,37914,938988272.0,4.68,-4.66,-8.77,9.48,179.25
32,2021-07-13,605499,180.19,182.11,189.82,178.41,42333,1065728960.0,6.37,1.6,2.86,10.58,182.11
33,2021-07-14,605499,179.04,182.07,185.98,174.35,30399,755728176.0,6.39,-0.02,-0.04,7.6,182.07
34,2021-07-15,605499,174.41,176.42,178.5,170.58,44207,1061391664.0,4.35,-3.1,-5.65,11.05,176.42
