,Date,股票代码,Open,Close,High,Low,Volume,成交额,振幅,Change,Amount,Turnover,Adj Close
0,2011-11-02,300274,1.04,1.45,1.48,1.04,301201,1002758736.0,44.9,47.96,0.47,84.04,1.45
1,2011-11-03,300274,1.42,1.45,1.53,1.33,182736,630187104.0,13.79,0.0,0.0,50.99,1.45
2,2011-11-04,300274,1.44,1.47,1.57,1.38,133843,469739520.0,13.1,1.38,0.02,37.34,1.47
3,2011-11-07,300274,1.4,1.22,1.4,1.18,102644,340004752.0,14.97,-17.01,-0.25,28.64,1.22
4,2011-11-08,300274,1.19,1.24,1.31,1.19,63199,208208361.0,9.84,1.64,0.02,17.63,1.24
5,2011-11-09,300274,1.24,1.28,1.31,1.2,57344,189344094.0,8.87,3.23,0.04,16.0,1.28
6,2011-11-10,300274,1.23,1.23,1.35,1.19,66196,219302818.0,12.5,-3.91,-0.05,18.47,1.23
7,2011-11-11,300274,1.24,1.13,1.25,1.08,65167,208238119.0,13.82,-8.13,-0.1,18.18,1.13
8,2011-11-14,300274,1.16,1.28,1.35,1.16,72075,237841364.0,16.81,13.27,0.15,20.11,1.28
9,2011-11-15,300274,1.26,1.33,1.34,1.22,55947,186060184.0,9.38,3.91,0.05,15.61,1.33
10,2011-11-16,300274,1.35,1.36,1.52,1.35,101644,350610032.0,12.78,2.26,0.03,28.36,1.36
11,2011-11-17,300274,1.5,1.52,1.65,1.46,107857,383219264.0,13.97,11.76,0.16,30.09,1.52
12,2011-11-18,300274,1.46,1.55,1.62,1.43,87543,311787568.0,12.5,1.97,0.03,24.43,1.55
13,2011-11-21,300274,1.51,1.47,1.56,1.39,54029,188394023.0,10.97,-5.16,-0.08,15.08,1.47
14,2011-11-22,300274,1.47,1.64,1.66,1.44,83534,299903568.0,14.97,11.56,0.17,23.31,1.64
15,2011-11-23,300274,1.61,1.53,1.65,1.53,52500,188840618.0,7.32,-6.71,-0.11,14.65,1.53
16,2011-11-24,300274,1.46,1.53,1.61,1.44,49235,174626125.0,11.11,0.0,0.0,13.74,1.53
17,2011-11-25,300274,1.55,1.66,1.77,1.55,73589,270456336.0,14.38,8.5,0.13,20.53,1.66
18,2011-11-28,300274,1.59,1.54,1.65,1.51,48866,175281405.0,8.43,-7.23,-0.12,13.63,1.54
19,2011-11-29,300274,1.57,1.51,1.58,1.43,49742,174316711.0,9.74,-1.95,-0.03,13.88,1.51
20,2011-11-30,300274,1.51,1.33,1.54,1.22,58354,199236385.0,21.19,-11.92,-0.18,16.28,1.33
21,2011-12-01,300274,1.43,1.29,1.5,1.26,52220,180176123.0,18.05,-3.01,-0.04,14.57,1.29
22,2011-12-02,300274,1.24,1.25,1.28,1.15,31213,101961529.0,10.08,-3.1,-0.04,8.71,1.25
23,2011-12-05,300274,1.19,1.07,1.22,1.07,23394,74768827.0,12.0,-14.4,-0.18,6.53,1.07
24,2011-12-06,300274,1.05,1.11,1.13,1.01,28804,90153268.0,11.21,3.74,0.04,8.04,1.11
25,2011-12-07,300274,1.18,1.25,1.26,1.15,41591,135516059.0,9.91,12.61,0.14,11.6,1.25
26,2011-12-08,300274,1.2,1.3,1.32,1.12,37213,122121126.0,16.0,4.0,0.05,10.38,1.3
27,2011-12-09,300274,1.24,1.28,1.33,1.22,24804,82063896.0,8.46,-1.54,-0.02,6.92,1.28
28,2011-12-12,300274,1.26,1.29,1.34,1.24,14398,47871150.0,7.81,0.78,0.01,4.02,1.29
29,2011-12-13,300274,1.26,1.19,1.28,1.13,21402,69054091.0,11.63,-7.75,-0.1,5.97,1.19
30,2011-12-14,300274,1.19,1.18,1.24,1.15,13307,43084843.0,7.56,-0.84,-0.01,3.71,1.18
31,2011-12-15,300274,1.15,1.13,1.23,1.1,14201,45806048.0,11.02,-4.24,-0.05,3.96,1.13
32,2011-12-16,300274,1.15,1.3,1.3,1.09,22554,73371284.0,18.58,15.04,0.17,6.29,1.3
33,2011-12-19,300274,1.28,1.37,1.41,1.24,30259,102215167.0,13.08,5.38,0.07,8.44,1.37
34,2011-12-20,300274,1.36,1.3,1.45,1.28,22675,76671647.0,12.41,-5.11,-0.07,6.33,1.3
35,2011-12-21,300274,1.33,1.16,1.33,1.1,21062,68841980.0,17.69,-10.77,-0.14,5.88,1.16
36,2011-12-22,300274,1.09,1.09,1.15,0.93,20574,64236599.0,18.97,-6.03,-0.07,5.74,1.09
37,2011-12-23,300274,1.06,1.09,1.11,1.02,12311,38451216.0,8.26,0.0,0.0,3.44,1.09
38,2011-12-26,300274,1.06,1.04,1.13,1.04,7992,25125425.0,8.26,-4.59,-0.05,2.23,1.04
39,2011-12-27,300274,1.02,0.69,1.04,0.69,26984,77910699.0,33.65,-33.65,-0.35,7.53,0.69
40,2011-12-28,300274,0.59,0.59,0.64,0.49,18699,49913330.0,21.74,-14.49,-0.1,5.22,0.59
41,2011-12-29,300274,0.57,0.55,0.65,0.55,8330,22474099.0,16.95,-6.78,-0.04,2.32,0.55
42,2011-12-30,300274,0.56,0.64,0.64,0.54,12049,32772641.0,18.18,16.36,0.09,3.36,0.64
43,2012-01-04,300274,0.66,0.48,0.68,0.48,8034,21707266.0,31.25,-25.0,-0.16,2.24,0.48
44,2012-01-05,300274,0.4,0.34,0.47,0.19,25601,62283567.0,58.33,-29.17,-0.14,7.14,0.34
45,2012-01-06,300274,0.29,0.38,0.4,0.25,11436,28023412.0,44.12,11.76,0.04,3.19,0.38
46,2012-01-09,300274,0.35,0.5,0.51,0.29,18019,46471981.0,57.89,31.58,0.12,5.03,0.5
47,2012-01-10,300274,0.49,0.62,0.62,0.49,23770,63719013.0,26.0,24.0,0.12,6.63,0.62
48,2012-01-11,300274,0.6,0.6,0.65,0.57,19889,54026660.0,12.9,-3.23,-0.02,5.55,0.6
49,2012-01-12,300274,0.6,0.56,0.76,0.55,20452,56461944.0,35.0,-6.67,-0.04,5.71,0.56
50,2012-01-13,300274,0.55,0.4,0.56,0.37,19084,48858078.0,33.93,-28.57,-0.16,5.32,0.4
51,2012-01-16,300274,0.36,0.25,0.37,0.24,12576,30552912.0,32.5,-37.5,-0.15,3.51,0.25
52,2012-01-17,300274,0.25,0.39,0.43,0.22,13877,34353988.0,84.0,56.0,0.14,3.87,0.39
53,2012-01-18,300274,0.43,0.13,0.45,0.11,20224,49237751.0,87.18,-66.67,-0.26,5.64,0.13
54,2012-01-19,300274,0.13,0.2,0.24,0.05,16736,38808254.0,146.15,53.85,0.07,4.67,0.2
55,2012-01-20,300274,0.2,0.25,0.3,0.2,9010,21587500.0,50.0,25.0,0.05,2.51,0.25
