Date,股票代码,Open,Close,High,Low,Volume,成交额,振幅,Change,Amount,Turnover,Adj Close
2010-06-25,000026,6.96,6.9,7.04,6.68,7561,10592261.0,5.08,-2.54,-0.18,0.95,6.9
2010-06-28,000026,6.9,6.61,6.9,6.61,4128,5669675.0,4.2,-4.2,-0.29,0.52,6.61
2010-06-29,000026,6.62,6.13,6.8,5.98,11452,14989126.0,12.41,-7.26,-0.48,1.44,6.13
2010-06-30,000026,6.09,6.03,6.18,5.79,9471,11981725.0,6.36,-1.63,-0.1,1.19,6.03
2010-07-01,000026,6.08,6.04,6.08,5.87,4064,5173538.0,3.48,0.17,0.01,0.51,6.04
2010-07-02,000026,5.97,5.33,6.11,5.13,32635,38543796.0,16.23,-11.75,-0.71,4.1,5.33
2010-07-05,000026,5.24,4.87,5.24,4.82,21468,24351670.0,7.88,-8.63,-0.46,2.7,4.87
2010-07-06,000026,4.87,5.24,5.33,4.85,24635,28182528.0,9.86,7.6,0.37,3.1,5.24
2010-07-07,000026,5.23,5.25,5.33,5.11,11553,13447739.0,4.2,0.19,0.01,1.45,5.25
2010-07-08,000026,5.27,5.39,5.5,5.25,17405,20618528.0,4.76,2.67,0.14,2.19,5.39
2010-07-09,000026,5.39,5.46,5.6,5.35,25770,30997952.0,4.64,1.3,0.07,3.24,5.46
2010-07-12,000026,5.46,5.66,5.71,5.43,22481,27355380.0,5.13,3.66,0.2,2.83,5.66
2010-07-13,000026,5.66,5.67,5.69,5.35,23606,28458700.0,6.01,0.18,0.01,2.97,5.67
2010-07-14,000026,5.66,5.66,5.71,5.53,33913,41396644.0,3.17,-0.18,-0.01,4.26,5.66
2010-07-15,000026,5.77,5.7,6.01,5.7,63360,79459528.0,5.48,0.71,0.04,7.97,5.7
2010-07-16,000026,5.48,5.61,5.63,5.23,31619,37585512.0,7.02,-1.58,-0.09,3.97,5.61
2010-07-19,000026,5.55,5.73,5.9,5.45,26678,32768310.0,8.02,2.14,0.12,3.35,5.73
2010-07-20,000026,5.73,5.91,5.99,5.67,42410,52898752.0,5.58,3.14,0.18,5.33,5.91
2010-07-21,000026,5.85,5.85,5.93,5.78,27862,34953648.0,2.54,-1.02,-0.06,3.5,5.85
2010-07-22,000026,5.85,6.02,6.06,5.79,27293,34665496.0,4.62,2.91,0.17,3.43,6.02
2010-07-23,000026,6.03,6.25,6.33,5.93,41227,53452484.0,6.64,3.82,0.23,5.18,6.25
2010-07-26,000026,6.26,6.25,6.41,6.08,19320,25265458.0,5.28,0.0,0.0,2.43,6.25
2010-07-27,000026,6.18,6.18,6.27,6.11,12706,16525057.0,2.56,-1.12,-0.07,1.6,6.18
2010-07-28,000026,6.18,6.37,6.42,6.18,48934,64449344.0,3.88,3.07,0.19,6.15,6.37
2010-07-29,000026,6.38,6.28,6.38,6.23,27691,36458392.0,2.35,-1.41,-0.09,3.48,6.28
2010-07-30,000026,6.31,6.2,6.34,6.11,20899,27267352.0,3.66,-1.27,-0.08,2.63,6.2
2010-08-02,000026,6.21,6.5,6.54,6.16,31868,42185988.0,6.13,4.84,0.3,4.01,6.5
2010-08-03,000026,6.49,6.72,7.07,6.48,62495,86417224.0,9.08,3.38,0.22,7.86,6.72
2010-08-04,000026,6.71,6.79,6.98,6.44,38853,52662288.0,8.04,1.04,0.07,4.88,6.79
2010-08-05,000026,6.75,6.79,6.93,6.61,35906,49433464.0,4.71,0.0,0.0,4.51,6.79
2010-08-06,000026,6.79,6.96,7.03,6.58,25953,35942828.0,6.63,2.5,0.17,3.26,6.96
2010-08-09,000026,6.96,7.33,7.43,6.87,46470,67180096.0,8.05,5.32,0.37,5.84,7.33
2010-08-10,000026,7.33,7.05,7.41,7.04,32692,46766492.0,5.05,-3.82,-0.28,4.11,7.05
2010-08-11,000026,7.01,7.18,7.29,6.98,27779,39505484.0,4.4,1.84,0.13,3.49,7.18
2010-08-12,000026,7.08,6.83,7.25,6.8,20154,28260532.0,6.27,-4.87,-0.35,2.53,6.83
2010-08-13,000026,6.8,7.07,7.08,6.73,24251,33695660.0,5.12,3.51,0.24,3.05,7.07
2010-08-16,000026,7.06,7.25,7.33,6.93,22699,32637726.0,5.66,2.55,0.18,2.85,7.25
2010-08-17,000026,7.26,7.67,7.8,7.26,41335,61487688.0,7.45,5.79,0.42,5.2,7.67
2010-08-18,000026,7.65,7.61,7.72,7.41,28364,42090304.0,4.04,-0.78,-0.06,3.57,7.61
2010-08-19,000026,7.65,7.58,7.85,7.54,27053,40627464.0,4.07,-0.39,-0.03,3.4,7.58
2010-08-20,000026,7.58,7.34,7.68,7.33,18228,26863938.0,4.62,-3.17,-0.24,2.29,7.34
2010-08-23,000026,7.36,7.56,7.67,7.31,20787,30464586.0,4.9,3.0,0.22,2.61,7.56
